words,rgb,hsb
crumble,-4142371,-7852579
beneath,-4607263,-8698911
feet,-2901575,-4967751
heart,-2895700,-5824596
leaps,-2633556,-5496925
falling,-3950125,-7128621
wrenched,-2636868,-4445005
violently,-1784860,-1821276
backwards,-3488064,-6608192
slam,-2240340,-5496945
solid,-2636080,-3133754
Dazed,-8278017,-11536129
pain,-2446138,-3784524
barely,-5063442,-10535186
focus,-2891342,-5499726
register,-3483693,-5824045
massive,-3098133,-2604821
form,-3745052,-6217244
racing,-2899783,-4969031
towards,-2892333,-3400493
whirl,-1324346,-3790478
safety,-3093798,-3723814
free,-4594503,-11725895
fall,-3756848,-6274096
again,-4601172,-11328596
entirety,-3282992,-5368880
collapsing,-3488809,-5360937
world,-1980700,-1822033
unravel,-3283763,-5499443
myriad,-3288115,-5299251
fragments,-3743293,-7858493
fill,-3750192,-6803760
vision,-2436899,-2283323
Some,-6563117,-14786861
most,-2237721,-1629761
foreign,-3944240,-7723312
places,-3750966,-7000118
visited,-3287088,-5168944
people,-2243638,-3526741
encountered,-3289651,-5297971
things,-1982249,-2673241
touched,-3748397,-6739501
Looking,-5910313,-14205737
reminded,-3489597,-6410045
own,-2427433,-2684740
chest,-3287111,-6480455
constricts,-3092255,-3331615
surge,-2894876,-2283548
regret,-1787437,-2934373
envelops,-3941660,-7134748
hadnt,-3290442,-6543946
willynilly,-1975600,-3137893
better,-3294745,-3588121
faster,-2903324,-2210588
decisive,-3291460,-6149444
even,-3739207,-8582471
symbol,-3478576,-6287152
dec,-4802126,-11194190
hex,-3950088,-5421832
bin,-5257513,-12373801
45,45,45
2D,0,0
101101,101101,101101
48,48,48
110000,110000,110000
49,49,49
31,31,31
110001,110001,110001
110010,110010,110010
51,51,51
110011,110011,110011
52,52,52
34,34,34
110100,110100,110100
53,53,53
35,35,35
110101,110101,110101
54,54,54
110110,110110,110110
55,55,55
37,37,37
110111,110111,110111
56,56,56
111000,111000,111000
57,57,57
39,39,39
111001,111001,111001
65,65,65
41,41,41
1000001,1000001,1000001
B,-12255232,-16777216
66,66,66
42,42,42
1000010,1000010,1000010
C,-12058624,-16777216
67,67,67
43,43,43
1000011,1000011,1000011
D,-11796480,-16777216
68,68,68
1000100,1000100,1000100
E,-11599872,-16777216
69,69,69
1000101,1000101,1000101
F,-11403264,-16777216
46,46,46
1000110,1000110,1000110
G,-11141120,-16777216
71,71,71
47,47,47
1000111,1000111,1000111
H,-10944512,-16777216
72,72,72
1001000,1001000,1001000
73,73,73
1001001,1001001,1001001
J,-10485760,-16777216
4A,0,0
1001010,1001010,1001010
K,-10289152,-16777216
4B,0,0
1001011,1001011,1001011
L,-10092544,-16777216
76,76,76
4C,0,0
1001100,1001100,1001100
M,-9895936,-16777216
77,77,77
4D,0,0
1001101,1001101,1001101
N,-9633792,-16777216
78,78,78
4E,0,0
1001110,1001110,1001110
O,-9437184,-16777216
79,79,79
4F,0,0
1001111,1001111,1001111
P,-9240576,-16777216
1010000,1010000,1010000
Q,-8978432,-16777216
81,81,81
1010001,1010001,1010001
R,-8781824,-16777216
82,82,82
1010010,1010010,1010010
83,83,83
1010011,1010011,1010011
T,-8323072,-16777216
84,84,84
1010100,1010100,1010100
85,85,85
1010101,1010101,1010101
V,-7929856,-16777216
86,86,86
1010110,1010110,1010110
W,-7667712,-16777216
87,87,87
1010111,1010111,1010111
X,-7471104,-16777216
88,88,88
58,58,58
1011000,1011000,1011000
Y,-7274496,-16777216
89,89,89
59,59,59
1011001,1011001,1011001
Z,-7012352,-16777216
90,90,90
5A,0,0
1011010,1011010,1011010
61,61,61
1100001,1100001,1100001
98,98,98
62,62,62
1100010,1100010,1100010
99,99,99
63,63,63
1100011,1100011,1100011
64,64,64
1100100,1100100,1100100
101,101,101
1100101,1100101,1100101
102,102,102
1100110,1100110,1100110
103,103,103
1100111,1100111,1100111
104,104,104
1101000,1101000,1101000
105,105,105
1101001,1101001,1101001
j,-3538944,-16777216
106,106,106
6A,0,0
1101010,1101010,1101010
k,-3342336,-16777216
107,107,107
6B,0,0
1101011,1101011,1101011
l,-3145728,-16777216
108,108,108
6C,0,0
1101100,1101100,1101100
109,109,109
6D,0,0
1101101,1101101,1101101
110,110,110
6E,0,0
1101110,1101110,1101110
o,-2490368,-16777216
111,111,111
6F,0,0
1101111,1101111,1101111
112,112,112
1110000,1110000,1110000
q,-2031616,-16777216
113,113,113
1110001,1110001,1110001
r,-1835008,-16777216
114,114,114
1110010,1110010,1110010
115,115,115
1110011,1110011,1110011
116,116,116
1110100,1110100,1110100
u,-1179648,-16777216
117,117,117
1110101,1110101,1110101
v,-983040,-16777216
118,118,118
1110110,1110110,1110110
w,-720896,-16777216
119,119,119
1110111,1110111,1110111
120,120,120
1111000,1111000,1111000
121,121,121
1111001,1111001,1111001
z,-65536,-16777216
122,122,122
7A,0,0
1111010,1111010,1111010
class,-3286356,-7202644
TreeNode,-5919542,-12496438
self,-3098160,-4179504
val,-938800,-3128463
parent,-3489561,-4441625
height,-4145961,-7718697
size,-3094785,-1427201
payload,-3488813,-5557805
leftChild,-2909252,-4765252
rightChild,-3747685,-9495397
hasLeftChild,-4809018,-9614394
hasRightChild,-5257553,-13162577
isLeftChild,-5912910,-14206798
isRightChild,-3297364,-6867540
isRoot,-3087950,-6220622
isLeaf,-4142447,-10936687
hasAnyChildren,-7224351,-13329695
hasBothChildren,-5265197,-10991661
replaceNodeData,-3952724,-8702548
lc,-3100160,-16777216
rc,-1789440,-16777216
updateheight,-3747642,-7461690
dheight,-3292996,-6082884
newHeight,-5915423,-12890399
height1,-8078121,-13056297
farthest,-2439475,-3330632
leaf,-3753556,-8310868
starting,-1975623,-4646262
node,-3745098,-8381770
updatesize,-3286323,-5366323
dsize,-2436922,-3791695
BinarySearchTree,-6960438,-14059062
root,-1582374,-2482296
checkBalance,-4602984,-11787368
factor,-2898998,-3919926
put,-2232597,-1372225
currentNode,-3296550,-4242982
balance,-5259072,-12570688
setitem,-2895664,-3529008
res,-1787417,-1622103
getitem,-3747632,-6936880
delete,-4796221,-11525181
nodeToRemove,-4603706,-10145594
raise,-1789242,-3785837
KeyError,-8072210,-14034450
Error,-6953756,-15172380
tree,-3087175,-5827655
delitem,-3944253,-8313917
spliceOut,-5057584,-12311600
findSuccessor,-3492141,-5423917
checkbalance,-4602958,-10933838
succ,-3281230,-7074894
findMin,-3958579,-6663475
lowest,-3939858,-6874130
subtree,-2627662,-5107544
interior,-3744297,-6873897
child,-4145978,-8440634
subroot,-1579837,-3992457
stepthrough,-2434355,-3334730
yield,-1786695,-4640633
mid,-2898250,-5166922
rebuild,-2637632,-4182089
Demonstrating,-4403763,-9623347
how,-3941643,-6413323
works,-1973788,-1828184
93,93,93
18,18,18
del,-4802096,-10274352
itried,-3747635,-7133747
sorted,-1586483,-3331450
package,-3494727,-6669127
code,-4793674,-12182858
combination,-4597808,-10608432
program,-3087165,-5237565
components,-3483686,-5496102
https,-3086357,-2877717
tour,-1582354,-1170795
golang,-4794426,-11657274
concurrency,-4399654,-9626150
schier,-2640173,-2933558
co,-5056000,-16777216
blog,-4796198,-10868518
2015,2015,2015
04,4,4
asimplewebscraperingo,-3942458,-8314938
html,-3478573,-6156077
pkg,-2241088,-4184671
net,-2639381,-1359648
godoc,-3291466,-6477642
fmt,-4402197,-8771349
io,-3745280,-16777216
ioutil,-2633507,-2283310
url,-1121072,-3140000
strings,-2432560,-3139400
func,-4788521,-12185897
listener,-3093795,-3527203
chan,-3947604,-9099092
Sends,-6762281,-14192169
messages,-3095597,-4116013
output,-2429205,-1372210
Report,-5714460,-13879836
Crawl,-6366548,-15187284
counter,-3284525,-5105453
Counts,-7413269,-14965525
images,-3946806,-7787062
downloaded,-4601129,-9949993
DLImage,-6584434,-12427890
DLLimiter,-5724753,-12762193
irequest,-2431047,-4648541
image,-3946836,-9099604
URLs,-4818330,-12438170
ready,-3286356,-7202644
bool,-4138278,-8380454
Synchronization,-3944230,-7329574
stop,-1971238,-2485858
Signals,-4408890,-9226554
Recorder,-5254222,-13623630
Loop,-6104358,-14728486
recorder,-3091534,-6152526
makeRecorder,-4412205,-8370989
var,-938780,-1815940
Maximum,-5455631,-12305423
processing,-3290403,-4313635
Interface,-6959670,-14190646
recording,-2633546,-4841043
caching,-4408893,-9357885
URL,-8095130,-13279130
requests,-1587484,-1822058
inhabited,-3489600,-6541376
interface,-4600374,-10475574
Record,-5714510,-14538318
fetched,-4801328,-10406192
recorded,-3094862,-6084686
nil,-2636080,-3133754
already,-3490611,-5818931
records,-1978958,-5102969
pointer,-2235968,-4188514
struct,-1323545,-1626748
page,-3494720,-6275392
urlResult,-3748383,-6083359
Runs,-5247273,-14348585
Crawler,-4793678,-12314190
relies,-2901542,-2868262
Fetch,-8274709,-12720917
depth,-3097379,-3458339
reporter,-3091484,-3135516
recursively,-2432570,-3795025
crawls,-2893110,-3990070
web,-673361,-5296051
report,-2241052,-1823553
successful,-2897193,-3134249
fetch,-4801301,-9552405
Have,-7885583,-11610895
we,-673536,-16777216
searched,-2640202,-4836178
deep,-3491399,-6868295
Stop,-5444646,-15068710
havent,-4407058,-7980306
info,-3090500,-5562948
Refetch,-5910346,-14601290
Okay,-4797012,-12050004
links,-3287081,-4775465
imgs,-2632768,-4185674
Sprintf,-5711129,-14603545
nFetch,-1998404,-4432736
failed,-3755332,-7391044
our,-2429212,-1830968
urls,-1317680,-3139987
preview,-1322055,-4645017
nFetched,-2911812,-4697668
Send,-6768169,-12878377
request,-1590812,-1818981
img,-3746880,-7790144
Recursively,-4136506,-9365562
crawl,-2893140,-5891924
depth1,-3097485,-9822605
Outputs,-4395285,-9695253
sent,-1590825,-2671725
msg,-2889792,-4648256
Println,-4790326,-12184630
err,-4594460,-10479388
Performs,-5450780,-13621276
HTTP,-10059391,-12615335
HTML,-10452631,-13407935
link,-3291433,-4640553
according,-3945034,-8838218
Get,-11093525,-12522684
Successfully,-4600351,-9753375
parse,-1985820,-1817419
extracting,-3093040,-4314928
Body,-6366538,-15055178
bytes,-5049877,-13234965
ReadAll,-5734980,-10525508
Read,-6768212,-13671252
contents,-2632745,-2677300
appending,-4597818,-10936378
ts,-1317120,-16777216
NewTokenizer,-5716262,-13616934
NewReader,-7882281,-12862505
false,-3099952,-4178224
Inspect,-4798771,-10867251
token,-3090483,-4579123
next,-1984008,-506685
tt,-1316096,-16777216
Next,-5457416,-11778824
switch,-1584189,-3989124
start,-1774676,-5501582
tag,-1332032,-4178309
StartTagToken,-4139112,-10872936
tk,-1323776,-16777216
Token,-6563891,-14656051
Data,-8737557,-11736106
Look,-6759718,-14717222
href,-4135751,-9890887
attribute,-2892346,-4252986
Attr,-7214101,-15560213
Index,-7608394,-15627850
Val,-7885616,-12339248
Found,-6961426,-13266706
property,-1974819,-2286172
src,-1579854,-5107092
FullIMGurl,-7226190,-13730894
instead,-3291446,-5362230
weve,-2639375,-965914
hit,-3946773,-6343445
stream,-3093798,-3723814
ErrorToken,-4793678,-12314190
Failed,-7228740,-13072964
Inspects,-4796211,-11262515
obtained,-4146719,-7193119
attempts,-3939868,-7267612
build,-4140858,-8903482
Because,-7416883,-14445619
otherwise,-3741744,-7400496
error,-3480348,-5170972
Ext,-11536149,-14226682
because,-5254195,-13163571
did,-4798794,-11523914
Though,-4800307,-10603827
couldnt,-3291423,-4050207
replicate,-3486269,-6543677
afterwards,-4401190,-9428262
confused,-4795427,-10934563
extension,-4398623,-9561375
five,-4602127,-8964623
characters,-2443584,-4180306
minimum,-3289631,-4117279
extensions,-3743263,-6481183
Image,-7420244,-14254420
jpg,-3482176,-6940224
prefixed,-3749161,-6542121
slash,-1586516,-5495952
urlComp,-5251632,-13624368
Split,-6101808,-15320624
host,-2630937,-1629733
Host,-6104345,-14596377
prefix,-3288105,-4774441
www,-657931,-718528
site,-3094805,-2673429
thing,-1982266,-3788646
Page,-6968128,-12681536
dir,-4798748,-10210588
Dir,-11745564,-10951630
Join,-6563130,-14919482
FetchImage,-6113620,-13547348
byte,-5047317,-13696021
errg,-4397852,-9561884
errr,-3283740,-4187932
ExtractFilename,-4803894,-10208054
Gets,-6374933,-12554005
base,-5067545,-9942041
filename,-3946820,-8443204
document,-2892362,-5236554
specified,-3487047,-7067975
Parse,-5459228,-11778844
Base,-8540953,-11802659
Path,-6574869,-11762453
SaveImage,-6383405,-11175725
Writes,-4600361,-10016041
raw,-1790731,-700488
named,-3756077,-6208813
WriteFile,-4403813,-11329893
0777,777,777
incoming,-3093060,-5561156
via,-932180,-5495214
tries,-3087162,-5040954
download,-4404505,-8572697
Updates,-5053258,-13560906
sends,-3288873,-4708393
information,-3482170,-6612282
signal,-2246202,-3787095
entire,-4137520,-8840240
limit,-3483693,-5824045
reached,-3949390,-8704334
select,-3098915,-3391523
Waits,-4601146,-10475066
ahead,-5456711,-13160263
Processes,-5257503,-12176671
Printf,-5904448,-15587648
Second,-5454158,-13752398
Controls,-5447209,-14542377
updated,-3939146,-9301066
signaling,-2636861,-3985990
downloading,-3946790,-7065382
Initialize,-5059888,-11916336
Downloaded,-6370601,-13869865
Download,-6763801,-13599257
met,-2901525,-1818389
recorderRequest,-3745092,-8053828
reply,-2434339,-2285372
realRecorder,-3756086,-6668342
port,-1778972,-1826404
ack,-5459251,-12304947
Constructs,-4140831,-7853599
spawns,-1123638,-3531422
component,-3942438,-7462182
handles,-3490618,-6212410
clients,-3746857,-6674985
Build,-7614266,-14378298
hs,-3938560,-16777216
Program,-5446461,-14936893
closed,-3292218,-5558586
Reached,-6374222,-13741134
close,-3292198,-4443174
Exit,-6555450,-16430650
default,-3943482,-8248634
Has,-10900249,-11802791
acknowledge,-3948336,-7392304
record,-2241102,-5102955
respond,-3093795,-3527203
resultHolder,-4798751,-10276127
color,-3744304,-7201840
genColor,-6369069,-14264365
String,-6102576,-15189040
word,-2893084,-2285084
mode,-3745098,-8381770
TableRow,-4602219,-11918955
ascii,-4597838,-11527246
findRow,-3301673,-4238889
charAt,-3505718,-5217334
null,-2887984,-3600944
println,-2627638,-3533889
finding,-4602153,-9817897
getInt,-7420181,-13325077
div,-4798735,-9816591
255,255,255
pushStyle,-2245417,-2672457
colorMode,-3288923,-7528795
RGB,-8759739,-13810367
crgb,-5249856,-14150464
HSB,-10912443,-14465754
chsb,-5258265,-11847961
popStyle,-4598805,-9623317
newEntry,-5449746,-13752850
chromadict,-3487040,-6674496
addRow,-7223597,-13660205
setString,-4598822,-10148390
setInt,-6109461,-13347093
rgb,-1785681,-5297282
hsb,-3938385,-9629521
Adapted,-6565710,-14658382
reference,-3095623,-5624903
createReader,-6106944,-14466880
getWords,-5712921,-14208793
BufferedReader,-6109518,-14204494
reader,-3294778,-5491002
write,-1126970,-3791258
endless,-3094835,-4444723
loop,-2630950,-2482225
readLine,-3105863,-5420871
catch,-5064981,-10337301
IOException,-3950184,-9819752
printStackTrace,-3097418,-5820490
wordsinline,-2895664,-3529008
splitTokens,-2630228,-5499229
indexOf,-4397167,-12251759
parts,-1783068,-1822814
join,-3089722,-4973370
Geography,-5911853,-13942829
projection,-2438451,-3331401
utilities,-2634275,-2282542
DATA,-12238207,-9666209
PATH,-10075519,-10518164
sin,-1587497,-2674546
cos,-5055769,-12181017
atan2,-4162132,-8169556
radians,-2446138,-3784524
sqrt,-1580572,-1828212
json,-3086374,-3861286
JSONDecoder,-7429474,-13010018
geographic,-3945789,-8181565
coordinate,-3490601,-5293865
longitudinal,-2899757,-3328813
position1,-2892399,-7597167
position2,-2892395,-7335019
great,-4790343,-12578375
circle,-5059891,-11982131
miles,-3745840,-7069488
haversine,-4141606,-8049958
formula,-4397862,-9889830
Haversine,-6566438,-13997862
round,-2242834,-1165879
559,559,559
earth,-3098908,-2997788
radius,-2896435,-3725107
3963,3963,3963
lat1,-9589525,-11736154
lat2,-9392917,-11736143
lon1,-9577769,-14690426
lon2,-9381161,-14690413
dlat,-3092308,-6479956
dlon,-3747622,-6477606
lat2lat1,-6782518,-10252342
lon2lon1,-7237161,-10705705
1a,0,0
xy,-460032,-16777216
Convert,-4797731,-10539555
within,-2439455,-2018614
US,-8094464,-16777216
planar,-2442042,-3787597
25,25,25
hawaii,-4802083,-9880355
alaska,-3486292,-7790164
lower48,-7414396,-15639420
albers,-5055798,-12771894
parallels,-4144163,-7654435
translate,-3283012,-6483524
scale,-2443604,-5492324
Albers,-8529206,-14824769
Derived,-6761523,-14455859
Mike,-7223603,-13792307
Bostocks,-5710387,-14998579
javascript,-3094829,-4116525
implementation,-3943465,-7526953
D3,-11791616,-16777216
mbostock,-3289638,-4511014
github,-4138291,-8905267
com,-5055789,-12575021
d3,-4844800,-16777216
mathworld,-2895661,-3397933
wolfram,-2630212,-4449870
AlbersEqualAreaConicProjection,-6369863,-14397767
bounding,-3488806,-5229606
latitudes,-3947541,-6211605
translation,-3087936,-5368128
larger,-3755292,-5421852
scaling,-3097408,-5164352
phi1,-9190458,-13711719
phi2,-8928314,-13711705
p0,-2291456,-16777216
project,-2437690,-3791183
29,29,29
480,480,480
250,250,250
60,60,60
160,160,160
150,150,150
440,440,440
400,400,400
300,300,300
450,450,450
Load,-7415124,-15173204
coordinates,-3488041,-5426985
outlines,-3482143,-5235231
lists,-2238489,-1628992
Hawaii,-8275491,-12789795
islands,-3744317,-7792189
encoding,-3292228,-6148932
utf8,-7869508,-15819332
decode,-3754314,-7785290
read,-3294804,-7000148
enumerate,-4402217,-9427497
single,-2897210,-4183610
assert,-5053209,-12642073
Multi-polygon,-3288162,-7988322
reversed,-3750165,-5491477
pos,-2237721,-1629761
Dictionary,-4145968,-7981360
containing,-3292208,-5033776
estimates,-3288877,-4970797
From,-7215910,-15234598
Wikipedia,-5452359,-13949767
List,-5716249,-13419289
territories,-2633510,-2479921
38332521,38332521,38332521
26449193,26449193,26449193
19651127,19651127,19651127
19552860,19552860,19552860
12882135,12882135,12882135
12773801,12773801,12773801
11570808,11570808,11570808
9992167,9992167,9992167
9895622,9895622,9895622
9848060,9848060,9848060
8899339,8899339,8899339
8260405,8260405,8260405
6971406,6971406,6971406
6692824,6692824,6692824
6626624,6626624,6626624
6570902,6570902,6570902
6495978,6495978,6495978
6044171,6044171,6044171
5928814,5928814,5928814
5742713,5742713,5742713
5420380,5420380,5420380
5268367,5268367,5268367
4833722,4833722,4833722
4774839,4774839,4774839
4625470,4625470,4625470
4395295,4395295,4395295
3930065,3930065,3930065
3850568,3850568,3850568
3596080,3596080,3596080
3090416,3090416,3090416
2991207,2991207,2991207
2959373,2959373,2959373
2900872,2900872,2900872
2893957,2893957,2893957
2790136,2790136,2790136
2085287,2085287,2085287
1868516,1868516,1868516
1854304,1854304,1854304
1612136,1612136,1612136
1404054,1404054,1404054
1328302,1328302,1328302
1323459,1323459,1323459
1051511,1051511,1051511
1015165,1015165,1015165
925749,925749,925749
844877,844877,844877
735132,735132,735132
723393,723393,723393
646449,646449,646449
626630,626630,626630
582658,582658,582658
graphics,-3941703,-8971591
module,-1977418,-4841591
implements,-3290403,-4313635
GUI,-11107236,-13870035
sys,-1573913,-1637500
tkinter,-1975616,-4187249
Exception,-6757168,-15309616
Could,-7616786,-13255698
FRAME,-10722494,-14138836
TIME,-10068887,-12359342
Canvas,-6574883,-12092195
supports,-1776415,-2025577
drawing,-3288128,-6086208
animation,-4142377,-8114985
primitives,-2630195,-3335230
methods,-2897200,-3527728
id,-3754496,-16777216
underlying,-2632758,-3530048
Tk,-8270592,-16777216
passed,-1985843,-3326558
move,-3745039,-5627151
singleton,-2436915,-3332681
instance,-3490595,-4965667
created,-5249095,-14347847
width,-1129546,-4838814
1024,1024,1024
768,768,768
title,-2244373,-1361209
White,-4604730,-10013498
Singleton,-4796211,-11262515
enforcement,-3744330,-8382282
canvas,-3101475,-3323939
instantiated,-1982266,-3788646
Attributes,-4399674,-10282298
Root,-5055782,-12443686
window,-2895644,-2282780
protocol,-1975610,-3793772
WM,-7640832,-16777216
DELETE,-11770279,-12822219
WINDOW,-9869702,-11961760
Graphics,-6104391,-15058759
Window,-6369052,-14000412
bind,-5060905,-11587369
Button1,-9837343,-15212170
pack,-2904910,-5424718
background,-3946803,-7655987
update,-3283786,-6745162
Clear,-8725831,-15025756
Black,-8729172,-14570342
smooth,-1974835,-3335272
pairs,-1979706,-3790441
pixel,-3486984,-3722248
flattened,-2895694,-5496654
outline,-3482911,-5168927
cirlce,-4145971,-8112691
x0,-521984,-16777216
y0,-325376,-16777216
x1,-520960,-16777216
y1,-324352,-16777216
oval,-2887252,-5895764
anchor,-4794422,-11591734
NW,-9598208,-16777216
PhotoImage,-4602971,-11327835
zoom,-1582374,-2482296
subsample,-1782340,-4447100
font,-2893097,-3137577
Arial,-8922426,-14891356
style,-2436869,-315680
normal,-2898982,-2870310
Edit,-6572346,-13079866
existing,-3087930,-5040186
itemconfigure,-3747635,-7133747
animate,-4407081,-8833577
duration,-4397869,-10086701
fn,-4401408,-16777216
frame,-3748436,-8642132
Animate,-6766377,-13272617
frames,-3748406,-7198774
coords,-3488031,-4902175
tail,-2249530,-3784533
Continues,-4798758,-10473254
slide,-3292218,-5558586
elapsed,-3941710,-9233998
Slide,-6765626,-13734202
paired,-1985860,-4441963
completed,-2897216,-4577344
offset,-1984045,-2934363
zip,-14627,-2281167
shift,-3090490,-4972602
milliseconds,-3293987,-4179235
call,-4150064,-7584816
sleep,-3090503,-5759559
corners,-3093788,-3133468
event,-3739975,-8516423
idletasks,-3289654,-5429302
mainloop,-2636080,-3133754
tuple,-2239523,-2283848
Coordinates,-5257513,-12373801
elem,-3747655,-8052039
angle,-4405568,-9819456
Translate,-5445700,-15134276
Shift,-6563898,-14722618
rectangle,-2442048,-4181331
x2,-520192,-16777216
y2,-323584,-16777216
Format,-7224345,-13197593
integers,-3484720,-5954608
02x,0,0
meters,-3748377,-5820953
3048,3048,3048
tens,-1590825,-2671725
digit,-4401216,-10346816
numstr,-2233382,-2485839
repr,-1787427,-2278238
nth,-2626621,-3993672
coins,-3939898,-8513594
total,-3484693,-4577045
monetary,-3085376,-5435456
diff,-4602180,-10671428
multiple,-2437673,-2676032
rem,-1787437,-2934373
zap,-21283,-2275513
buzz,-2625793,-61200
prime,-2634298,-3791172
considered,-4139072,-9363776
sum,-1577261,-2945411
cubes,-4789329,-12907089
cube,-4788561,-13038673
fibonacci3,-6962250,-13996106
polymax,-1124420,-4448932
xmin,-1584186,-3792258
xmax,-470100,-5497547
ymin,-1584186,-3792258
ymax,-470100,-5497547
poly,-1320240,-3137935
indexMax,-4592754,-13038706
collatz,-2898979,-2673699
num,-2625837,-2945337
funcs,-4789289,-12054313
lambda,-4149312,-8373056
conditional,-4796195,-10802979
evens,-3740743,-8515911
power,-3482123,-4185867
reverse,-3748373,-5624085
ls,-3086592,-16777216
revList,-4407061,-8111381
rev,-1787407,-965967
modList,-4796211,-11262515
primes,-2634281,-2676020
filter,-2899750,-2869798
filtList,-2444598,-3523401
overlap,-2235982,-5106542
ls1,-3086579,-16056051
ls2,-3086576,-15859440
Car,-12014364,-8788918
money,-3740713,-7139113
mpg,-2892352,-4580928
tank,-2446121,-2669116
currGas,-2907450,-4110138
moveTo,-3756828,-5289244
xnew,-665671,-4645567
ynew,-469063,-4645578
dist,-3094809,-2870297
pow,-2237707,-711733
xnewself,-1584199,-4645002
ynewself,-1322055,-4645017
reqGas,-6573340,-12288540
GasStation,-5911859,-14008883
price,-3748410,-7395642
refillCar,-5915440,-13219632
xCar,-1161044,-5473394
reqMoney,-5448998,-14147622
001,1,1
Taxi,-6116104,-11505416
status,-1578038,-3534984
dropoff,-3940918,-8316214
fee,-4408903,-9751879
ceil,-4146746,-8374586
longPalSub,-3958576,-6531888
sub,-1577297,-5305497
idx,-3754248,-4503816
substr,-1578038,-3534984
half,-4150064,-7584816
Compensates,-5256486,-12505638
substrings,-2235194,-3795806
including,-3482186,-7399242
middle,-3945802,-8772170
both,-4597013,-9886997
halves,-2444582,-2473530
palindromes,-3092282,-4971322
twoSum,-5049897,-13497385
i2,-3796992,-16777216
threeSum,-2440273,-5297763
i3,-3796224,-16777216
maxSublist,-3945766,-7197222
curr,-3477788,-5304348
best,-3294745,-3588121
resets,-3288857,-3855641
randlist,-2896435,-3725107
order,-3480394,-7531594
bubblesort,-3482173,-6743613
finished,-4404531,-9491763
1i,0,0
insertionsort,-3089695,-3399455
temp,-1787437,-2934373
k1,-3339008,-16777216
mergesort,-3291417,-3722265
merge,-3491356,-4505884
quicksort,-3285539,-4514339
partition,-2440223,-2018102
greater,-3938375,-9236039
less1,-2464793,-1602085
qshelp,-3286320,-5234992
pivot,-2435087,-973354
pivot1,-2435203,-8580241
timer,-3091501,-4184877
1001,1001,1001
perf,-3294748,-3784988
ba,-5264384,-16777216
hybridsort,-2236989,-3991135
run,-1773865,-2683251
96,96,96
128,128,128
192,192,192
256,256,256
384,384,384
512,512,512
County,-7413259,-14898187
othervals,-4137507,-8380963
abs,-5459993,-11581209
Cluster,-5251629,-13558573
centroid,-3488041,-5426985
updateCentroid,-4796218,-11393850
county,-3939851,-6611723
mean,-2901588,-5820500
readData,-2650452,-5485402
counties,-4135718,-8710182
readlines,-3096378,-4837178
float,-5055014,-12575270
normalizeCounties,-4792877,-11592493
diffsum,-4139053,-8576557
stdev,-3084618,-6026058
initClusters,-2901542,-2868262
clusters,-2891309,-3401517
newcluster,-2895651,-2742051
placeCounties,-2634338,-6414698
minDist,-5454115,-13028899
updateCentroids,-4796211,-11262515
clearClusters,-3287118,-6874190
writeOutput,-1123665,-5301931
kmeans,-4402224,-9690160
infile,-3746887,-8118343
outfile,-3941667,-7397155
cycles,-4138291,-8905267
output45,-6773269,-11365397
txt,-1312533,-1374606
fixed,-4604680,-8306184
gradient,-3941710,-9233998
low,-3089675,-2219019
pale,-3494704,-5422128
dark,-4150044,-6731036
Colors,-7217702,-14840614
Cynthia,-6365747,-14987827
Brewers,-4796979,-11130675
Color,-7217712,-14973488
Brewer,-6566451,-14130483
colorbrewer2,-3483746,-8578914
FREQUENCY,-10064541,-13081783
COLORS,-10718352,-12750779
f7fbff,-4821572,-8229956
deebf7,-5064339,-13886099
c6dbef,-5281351,-9081671
9ecae1,0,0
6baed6,0,0
4292c6,0,0
2171b5,0,0
08519c,0,0
08306b,0,0
GRAY,-9209278,-14532040
AAAAAA,-12434878,-13090256
scaled,-2443601,-5295458
Rounds,-5716245,-13353493
positive,-2436137,-2677313
vertices,-2437686,-3528780
dot,-4793621,-10870037
memoize,-3292953,-3655193
decorator,-2895680,-4578368
cache,-4607310,-10406478
memoized,-3293977,-3654425
args,-3480384,-7007040
960,960,960
500,500,500
secs,-1590862,-5099399
Wait,-4608826,-9486138
mouse,-2241810,-1166904
message,-3099949,-3981357
Display,-4797750,-11064886
occasionally,-3485498,-6413114
csv,-5052431,-12642575
My,-9831680,-16777216
guess,-2888775,-5108039
whatever,-2241843,-3331412
standard,-1980756,-5495164
character,-2902336,-4507968
could,-4143378,-7064082
java,-4608783,-7909647
nio,-2636070,-2477872
Files,-8071216,-14631472
Paths,-6567189,-13602069
bst,-5249045,-13691157
py,-2229504,-16777216
MUST,-9206659,-12812951
folder,-4601126,-9818662
Table,-5721425,-13354321
isize,-1978170,-3791722
dimension,-4402982,-9230118
cmode,-5060902,-11521830
save,-3101455,-2142479
void,-2893114,-4186938
setup,-1324309,-1363832
File,-8075568,-13713712
dataPath,-3957046,-6927158
exists,-3083817,-4125737
loadTable,-4408913,-10145617
header,-4408890,-9226554
addColumn,-6370614,-14067766
INT,-10719871,-11959982
Determines,-5451568,-13752624
blocks,-5255711,-12505887
750,750,750
Style,-5910277,-13744389
noLoop,-2631006,-6154343
noStroke,-2436948,-5496935
rectMode,-2646330,-3781698
CENTER,-10268813,-11570341
frameRate,-4401250,-11462498
Initial,-5059143,-12573511
